ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษาฯ (02),ภาษาอังกฤษ (03)
230,68.50,15.00,38.00,35.00,42.00
231,52.50,32.50,39.00,39.00,31.00
232,,,,,
233,61.50,17.50,35.00,34.00,20.00
234,54.50,27.50,39.00,53.00,33.00
235,32.00,22.50,34.00,37.00,19.00
236,78.50,70.00,58.00,50.00,62.00
237,65.50,60.00,47.00,47.00,32.00
238,19.50,20.00,26.00,23.00,20.00
239,65.00,27.50,47.00,50.00,22.00
240,48.00,27.50,36.00,45.00,22.00
241,58.00,45.00,55.00,55.00,35.00
242,56.50,30.00,44.00,40.00,27.00
243,71.00,70.00,51.00,53.00,20.00
244,58.00,20.00,39.00,46.00,28.00
245,53.50,30.00,40.00,35.00,21.00
246,54.00,15.00,41.00,35.00,18.00
247,61.00,25.00,46.00,36.00,24.00
248,73.50,85.00,57.00,54.00,47.00
249,60.50,50.00,43.00,42.00,36.00
250,54.00,27.50,29.00,43.00,22.00
251,29.50,22.50,31.00,32.00,17.00
252,45.00,20.00,36.00,26.00,15.00
253,57.50,20.00,27.00,43.00,13.00
254,65.50,27.50,34.00,39.00,26.00
255,54.00,20.00,39.00,33.00,29.00
256,54.50,25.00,37.00,31.00,20.00
257,79.50,55.00,51.00,46.00,47.00
258,61.50,27.50,40.00,48.00,28.00
259,74.00,30.00,37.00,56.00,34.00
260,51.50,20.00,44.00,40.00,33.00
261,79.50,45.00,42.00,49.00,50.00
262,53.50,30.00,38.00,37.00,17.00
263,70.00,50.00,44.00,46.00,44.00
264,66.50,67.50,50.00,44.00,35.00
265,78.50,75.00,60.00,56.00,56.00
266,50.00,25.00,37.00,38.00,17.00
267,41.00,20.00,26.00,26.00,25.00
268,58.00,25.00,39.00,43.00,31.00
269,71.50,85.00,67.00,54.00,54.00
270,66.50,32.50,44.00,39.00,32.00
271,56.50,30.00,35.00,37.00,24.00
272,72.00,22.50,47.00,58.00,39.00
273,74.50,57.50,56.00,46.00,38.00
274,65.50,30.00,36.00,38.00,17.00
275,70.00,70.00,59.00,59.00,60.00
276,49.00,22.50,36.00,38.00,29.00
277,63.00,35.00,33.00,43.00,32.00
278,48.00,25.00,27.00,34.00,21.00
279,44.50,25.00,29.00,36.00,27.00
280,56.50,37.50,39.00,31.00,27.00
281,57.00,17.50,38.00,42.00,39.00
282,60.50,37.50,35.00,44.00,24.00
283,73.00,50.00,57.00,50.00,33.00
284,41.50,20.00,33.00,38.00,15.00
285,32.50,45.00,36.00,35.00,17.00
286,73.00,65.00,52.00,48.00,51.00
287,60.50,50.00,51.00,44.00,40.00
288,34.00,25.00,30.00,38.00,20.00
289,53.00,17.50,29.00,40.00,22.00
290,73.00,52.50,60.00,55.00,42.00
291,45.50,20.00,36.00,37.00,29.00
292,60.00,57.50,50.00,46.00,26.00
293,66.00,62.50,45.00,45.00,67.00
294,77.00,70.00,56.00,50.00,41.00
295,54.00,35.00,43.00,45.00,20.00
296,66.00,22.50,43.00,39.00,33.00
297,28.00,20.00,37.00,35.00,26.00
298,52.50,25.00,37.00,36.00,22.00
299,86.00,60.00,55.00,57.00,44.00
300,33.50,22.50,34.00,33.00,17.00
301,53.50,70.00,39.00,35.00,36.00
302,51.00,22.50,33.00,35.00,25.00
303,60.00,45.00,46.00,48.00,35.00
304,39.00,20.00,25.00,30.00,19.00
305,86.00,57.50,48.00,63.00,68.00
306,86.00,92.50,61.00,50.00,65.00
307,69.00,62.50,54.00,49.00,56.00
308,68.00,85.00,63.00,48.00,58.00
309,63.00,20.00,43.00,44.00,28.00
310,64.00,27.50,41.00,41.00,23.00
311,73.50,57.50,60.00,55.00,63.00
312,59.00,45.00,45.00,38.00,39.00
313,50.50,27.50,34.00,37.00,20.00
314,31.00,15.00,30.00,38.00,13.00
315,60.50,35.00,44.00,52.00,26.00
316,47.00,30.00,37.00,32.00,18.00
317,84.00,67.50,62.00,53.00,74.00
318,62.50,45.00,38.00,39.00,29.00
319,49.00,25.00,29.00,41.00,16.00
320,57.50,47.50,43.00,44.00,26.00
321,36.50,15.00,28.00,40.00,13.00
322,60.00,60.00,46.00,49.00,41.00
323,62.00,65.00,44.00,44.00,32.00
324,59.00,22.50,41.00,44.00,20.00
325,65.00,35.00,29.00,42.00,21.00
326,,,,,
327,34.50,17.50,33.00,27.00,15.00
328,27.00,25.00,26.00,39.00,18.00
329,78.00,75.00,63.00,50.00,62.00
330,70.50,60.00,51.00,42.00,41.00
331,70.00,55.00,49.00,46.00,22.00
332,47.50,35.00,30.00,37.00,19.00
333,66.50,20.00,41.00,45.00,34.00
334,67.50,22.50,34.00,46.00,16.00
335,39.50,17.50,36.00,35.00,27.00
336,59.00,55.00,38.00,51.00,49.00
337,83.50,65.00,48.00,60.00,77.00
338,61.50,27.50,32.00,43.00,23.00
339,58.00,32.50,41.00,48.00,26.00
340,52.00,30.00,29.00,32.00,16.00
341,58.50,22.50,27.00,45.00,32.00
342,42.00,47.50,42.00,36.00,26.00
343,52.50,25.00,35.00,48.00,31.00
344,52.00,30.00,39.00,37.00,26.00
345,43.50,32.50,30.00,36.00,24.00
346,73.00,55.00,55.00,53.00,73.00
347,34.00,15.00,32.00,37.00,24.00
348,77.50,45.00,46.00,56.00,33.00
349,45.00,15.00,28.00,30.00,25.00
350,70.50,32.50,35.00,45.00,17.00
351,54.50,12.50,32.00,35.00,16.00
352,66.50,65.00,62.00,51.00,38.00
353,55.00,25.00,31.00,38.00,38.00
354,70.50,15.00,34.00,45.00,24.00
355,85.00,57.50,62.00,52.00,55.00
356,56.00,32.50,45.00,42.00,14.00
357,35.50,27.50,30.00,29.00,17.00
358,42.50,20.00,34.00,38.00,27.00
359,54.00,20.00,31.00,36.00,30.00
360,55.00,37.50,36.00,37.00,33.00
361,77.50,52.50,56.00,45.00,51.00
362,63.00,20.00,31.00,40.00,32.00
363,65.50,35.00,37.00,46.00,24.00
364,71.00,60.00,48.00,52.00,32.00
365,76.00,25.00,44.00,41.00,25.00
366,59.50,42.50,46.00,34.00,44.00
367,34.00,5.00,31.00,36.00,24.00
368,,,,,
369,64.50,60.00,46.00,53.00,39.00
370,58.50,37.50,42.00,42.00,29.00
371,32.50,17.50,22.00,33.00,13.00
372,51.50,32.50,39.00,46.00,32.00
373,54.50,40.00,55.00,45.00,29.00
374,59.00,32.50,44.00,38.00,35.00
375,48.00,42.50,36.00,47.00,27.00
376,35.50,17.50,33.00,29.00,23.00
377,62.00,65.00,41.00,41.00,32.00
378,46.50,40.00,36.00,29.00,19.00
379,27.50,17.50,32.00,36.00,17.00
380,68.00,62.50,49.00,52.00,83.00
381,67.50,85.00,51.00,48.00,53.00
382,35.00,10.00,34.00,32.00,29.00
383,49.50,27.50,21.00,26.00,17.00
384,50.00,30.00,31.00,42.00,30.00
385,77.00,70.00,59.00,60.00,47.00
386,65.50,77.50,57.00,46.00,50.00
387,44.00,25.00,39.00,36.00,33.00
388,60.50,35.00,47.00,36.00,24.00
389,48.00,22.50,33.00,48.00,21.00
390,63.00,27.50,36.00,41.00,24.00
391,69.00,40.00,34.00,43.00,30.00
392,64.00,22.50,39.00,39.00,30.00
393,51.50,35.00,37.00,36.00,31.00
394,55.00,35.00,48.00,47.00,24.00
395,48.50,25.00,42.00,34.00,18.00
396,63.00,17.50,31.00,42.00,26.00
397,54.50,30.00,30.00,43.00,30.00
398,57.50,22.50,27.00,38.00,20.00
399,57.50,50.00,44.00,49.00,21.00
400,54.50,40.00,35.00,37.00,50.00
401,28.50,27.50,31.00,32.00,24.00
402,62.50,50.00,49.00,41.00,43.00
403,44.00,50.00,41.00,31.00,21.00
404,69.00,65.00,54.00,47.00,73.00
405,70.00,20.00,40.00,49.00,33.00
406,51.50,32.50,29.00,39.00,24.00
407,48.00,22.50,38.00,18.00,25.00
408,63.00,52.50,48.00,32.00,34.00
409,,,,,
410,77.00,30.00,38.00,47.00,32.00
411,36.00,30.00,32.00,35.00,13.00
412,71.50,60.00,60.00,49.00,70.00
413,48.00,25.00,32.00,29.00,32.00
414,45.00,17.50,25.00,24.00,13.00
415,36.00,25.00,31.00,26.00,19.00
416,63.50,57.50,40.00,48.00,24.00
417,77.00,67.50,55.00,58.00,51.00
418,47.00,17.50,41.00,43.00,21.00
419,44.50,22.50,33.00,44.00,22.00
420,45.50,17.50,36.00,46.00,20.00
421,73.00,62.50,50.00,51.00,43.00
422,60.50,30.00,53.00,46.00,23.00
423,57.00,52.50,43.00,50.00,71.00
424,42.50,27.50,25.00,36.00,25.00
425,49.50,42.50,32.00,32.00,26.00
426,73.00,75.00,47.00,53.00,46.00
427,44.00,22.50,30.00,41.00,23.00
428,55.50,45.00,40.00,39.00,24.00
429,53.50,32.50,35.00,51.00,22.00
430,63.00,42.50,46.00,45.00,24.00
431,73.00,60.00,55.00,53.00,35.00
432,72.50,30.00,47.00,46.00,49.00
433,77.00,37.50,49.00,55.00,41.00
434,25.00,22.50,26.00,19.00,18.00
435,61.50,50.00,45.00,37.00,28.00
436,61.50,45.00,37.00,43.00,54.00
437,75.50,72.50,49.00,41.00,47.00
438,71.50,42.50,43.00,53.00,42.00
439,72.50,30.00,39.00,51.00,48.00
440,45.50,12.50,30.00,38.00,21.00
441,66.50,15.00,25.00,43.00,58.00
442,73.00,47.50,45.00,51.00,33.00
443,39.00,20.00,18.00,30.00,11.00
444,78.00,42.50,46.00,48.00,46.00
445,71.50,75.00,46.00,60.00,70.00
446,69.50,42.50,54.00,57.00,39.00
447,59.00,30.00,47.00,45.00,31.00
448,63.50,40.00,36.00,51.00,31.00
449,50.00,52.50,27.00,24.00,25.00
450,58.00,20.00,35.00,41.00,26.00
451,57.50,27.50,32.00,43.00,32.00
452,67.00,30.00,41.00,43.00,31.00
453,57.00,35.00,42.00,36.00,26.00
454,62.50,42.50,39.00,52.00,26.00
455,70.50,50.00,49.00,48.00,36.00
456,59.00,22.50,29.00,42.00,22.00
457,49.00,37.50,33.00,48.00,29.00
458,54.50,22.50,37.00,44.00,34.00
,,,,,
,19.50,5.00,18.00,18.00,9.00
,92.50,97.50,77.00,70.00,86.00
,73.00,92.50,59.00,52.00,77.00
,57.89,36.47,39.73,42.46,31.31
,73,42.5,46,51,31
,59.00,30.00,39.00,43.00,27.00
