ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษา ศาสนาและวัฒนธรรม (02),สุขศึกษาและพลศึกษา (06),ศิลปะ (07),การงานอาชีพและเทคโนโลยี (08),ภาษาอังกฤษ (03)
130,53.50,10.00,32.00,30.00,60.00,21.00,44.00,14.00
131,69.50,40.00,39.00,38.00,55.00,43.00,52.00,15.00
132,25.00,17.50,23.00,26.00,36.25,33.00,28.00,16.00
133,59.50,17.50,34.00,37.00,56.25,36.00,62.00,12.00
134,51.00,22.50,42.00,32.00,76.25,34.00,58.00,10.00
135,75.00,32.50,44.00,52.00,58.75,51.00,62.00,64.00
136,49.50,10.00,33.00,35.00,56.25,47.00,54.00,26.00
137,35.00,12.50,22.00,30.00,42.50,23.00,32.00,19.00
138,62.00,22.50,53.00,40.00,66.25,32.00,58.00,25.00
139,72.00,47.50,44.00,48.00,71.25,43.00,66.00,50.00
140,68.00,35.00,44.00,44.00,63.75,36.00,66.00,16.00
141,59.50,12.50,44.00,48.00,63.75,46.00,62.00,30.00
142,,,,,,,,
143,72.00,57.50,48.00,52.00,65.00,32.00,62.00,61.00
144,53.00,15.00,34.00,43.00,58.75,43.00,72.00,17.00
145,78.50,85.00,43.00,58.00,71.25,40.00,66.00,78.00
146,33.00,20.00,26.00,24.00,36.25,21.00,36.00,11.00
147,64.50,15.00,33.00,39.00,50.00,40.00,60.00,17.00
148,46.00,17.50,20.00,34.00,52.50,35.00,30.00,24.00
149,41.00,17.50,24.00,27.00,45.00,34.00,52.00,14.00
150,54.50,17.50,28.00,19.00,40.00,29.00,70.00,41.00
151,73.00,35.00,47.00,51.00,65.00,32.00,46.00,69.00
152,46.00,12.50,26.00,36.00,42.50,38.00,54.00,19.00
153,50.00,35.00,39.00,38.00,52.50,31.00,58.00,32.00
154,53.00,30.00,45.00,45.00,62.50,39.00,66.00,12.00
155,51.00,15.00,27.00,34.00,48.75,42.00,42.00,18.00
156,43.00,17.50,39.00,41.00,45.00,38.00,56.00,22.00
157,70.00,25.00,39.00,51.00,62.50,39.00,64.00,41.00
158,76.00,47.50,60.00,54.00,63.75,48.00,66.00,30.00
159,68.50,30.00,47.00,42.00,60.00,39.00,64.00,26.00
160,56.00,20.00,20.00,29.00,47.50,39.00,58.00,19.00
161,65.50,17.50,36.00,31.00,47.50,36.00,42.00,23.00
162,63.00,17.50,39.00,45.00,45.00,55.00,66.00,32.00
163,72.00,22.50,51.00,38.00,55.00,39.00,64.00,24.00
164,23.00,2.50,23.00,30.00,37.50,26.00,54.00,21.00
165,63.50,45.00,55.00,35.00,61.25,34.00,60.00,43.00
166,58.00,55.00,47.00,43.00,57.50,41.00,56.00,37.00
167,51.50,15.00,41.00,32.00,57.50,35.00,62.00,20.00
168,25.50,17.50,24.00,24.00,58.75,34.00,48.00,21.00
169,71.00,45.00,54.00,58.00,66.25,48.00,54.00,36.00
170,68.00,52.50,55.00,55.00,72.50,44.00,62.00,41.00
171,64.50,17.50,28.00,44.00,65.00,38.00,54.00,30.00
172,51.00,20.00,20.00,38.00,42.50,34.00,42.00,22.00
173,70.00,32.50,39.00,40.00,66.25,37.00,64.00,33.00
174,45.00,5.00,25.00,27.00,36.25,22.00,42.00,25.00
175,63.50,32.50,39.00,38.00,63.75,31.00,54.00,16.00
176,69.50,22.50,43.00,51.00,68.75,37.00,72.00,29.00
177,68.50,37.50,43.00,48.00,58.75,42.00,52.00,47.00
178,63.50,25.00,37.00,46.00,53.75,36.00,62.00,48.00
179,57.50,15.00,41.00,46.00,67.50,35.00,62.00,41.00
180,61.50,17.50,28.00,32.00,68.75,43.00,44.00,42.00
181,51.00,35.00,35.00,47.00,71.25,40.00,46.00,22.00
182,74.00,57.50,41.00,52.00,70.00,46.00,62.00,28.00
183,79.50,82.50,74.00,65.00,75.00,44.00,66.00,60.00
184,59.50,15.00,33.00,33.00,52.50,42.00,40.00,33.00
185,69.50,37.50,37.00,42.00,57.50,33.00,52.00,51.00
186,75.00,45.00,53.00,46.00,66.25,43.00,62.00,39.00
187,71.50,60.00,51.00,42.00,70.00,45.00,70.00,50.00
188,26.00,15.00,40.00,43.00,46.25,37.00,46.00,14.00
189,44.50,12.50,18.00,28.00,52.50,31.00,32.00,20.00
190,53.50,17.50,36.00,34.00,53.75,43.00,50.00,21.00
191,73.50,57.50,48.00,52.00,60.00,46.00,72.00,35.00
192,60.00,55.00,37.00,25.00,56.25,33.00,56.00,23.00
193,43.00,15.00,25.00,31.00,51.25,31.00,46.00,19.00
194,62.00,37.50,36.00,47.00,58.75,44.00,60.00,37.00
195,58.00,35.00,39.00,46.00,60.00,33.00,56.00,37.00
196,68.50,20.00,42.00,46.00,63.75,51.00,58.00,25.00
197,55.50,25.00,43.00,33.00,75.00,45.00,32.00,23.00
198,60.00,40.00,51.00,60.00,66.25,42.00,54.00,23.00
199,65.50,30.00,62.00,58.00,68.75,47.00,54.00,35.00
200,67.50,7.50,31.00,30.00,66.25,40.00,68.00,20.00
201,51.00,20.00,34.00,31.00,57.50,33.00,50.00,22.00
202,77.50,65.00,55.00,48.00,70.00,41.00,66.00,28.00
203,63.50,57.50,51.00,37.00,71.25,34.00,64.00,34.00
204,61.50,22.50,26.00,32.00,50.00,36.00,48.00,25.00
205,72.00,62.50,51.00,56.00,52.50,48.00,70.00,36.00
206,55.00,20.00,32.00,37.00,58.75,39.00,70.00,31.00
207,52.00,22.50,27.00,43.00,63.75,44.00,58.00,23.00
208,56.50,27.50,51.00,55.00,66.25,44.00,72.00,26.00
209,67.50,40.00,53.00,43.00,65.00,38.00,56.00,40.00
210,48.00,15.00,32.00,29.00,51.25,35.00,58.00,13.00
211,69.50,35.00,48.00,24.00,51.25,20.00,54.00,31.00
212,51.00,15.00,34.00,34.00,68.75,31.00,38.00,15.00
213,51.00,12.50,27.00,42.00,51.25,41.00,48.00,18.00
214,70.00,40.00,42.00,47.00,68.75,46.00,64.00,46.00
215,56.00,30.00,46.00,41.00,68.75,53.00,52.00,26.00
216,58.50,20.00,29.00,39.00,47.50,36.00,46.00,24.00
217,44.00,20.00,27.00,25.00,46.25,25.00,34.00,18.00
218,59.00,30.00,38.00,45.00,65.00,32.00,64.00,21.00
219,83.50,30.00,45.00,55.00,52.50,42.00,76.00,55.00
220,62.00,32.50,46.00,50.00,72.50,38.00,74.00,28.00
221,63.00,37.50,44.00,43.00,52.50,31.00,64.00,26.00
222,66.50,50.00,62.00,52.00,72.50,51.00,60.00,58.00
223,63.50,25.00,32.00,45.00,72.50,45.00,64.00,30.00
224,63.00,20.00,37.00,40.00,67.50,32.00,60.00,22.00
225,63.50,10.00,40.00,39.00,50.00,36.00,54.00,31.00
226,73.50,35.00,49.00,52.00,58.75,35.00,58.00,29.00
227,59.00,27.50,39.00,32.00,55.00,40.00,56.00,22.00
228,58.00,10.00,18.00,26.00,42.50,42.00,50.00,12.00
229,58.50,12.50,36.00,54.00,53.75,32.00,54.00,17.00
230,66.00,25.00,62.00,54.00,62.50,46.00,54.00,35.00
231,36.00,10.00,54.00,30.00,57.50,35.00,46.00,20.00
232,26.00,,19.00,26.00,55.00,35.00,20.00,14.00
233,27.00,10.00,22.00,30.00,51.25,31.00,46.00,20.00
234,44.50,7.50,26.00,33.00,43.75,29.00,40.00,16.00
235,40.50,,26.00,33.00,47.50,23.00,42.00,15.00
236,52.50,10.00,41.00,28.00,40.00,29.00,50.00,23.00
237,74.00,80.00,62.00,57.00,61.25,41.00,70.00,43.00
238,,,,,,,,
239,70.00,30.00,37.00,48.00,58.75,43.00,58.00,29.00
240,67.50,27.50,39.00,33.00,58.75,47.00,64.00,24.00
241,72.00,50.00,42.00,47.00,55.00,29.00,50.00,23.00
242,51.00,15.00,26.00,33.00,40.00,35.00,46.00,14.00
243,67.00,55.00,55.00,57.00,63.75,34.00,60.00,43.00
244,77.00,30.00,41.00,46.00,58.75,47.00,70.00,33.00
245,51.00,7.50,35.00,36.00,43.75,32.00,58.00,21.00
246,32.00,10.00,23.00,25.00,36.25,30.00,26.00,20.00
247,51.50,7.50,27.00,41.00,61.25,35.00,62.00,30.00
248,49.50,25.00,34.00,41.00,55.00,35.00,66.00,31.00
249,65.00,15.00,50.00,55.00,60.00,39.00,58.00,31.00
250,56.00,25.00,23.00,27.00,58.75,37.00,56.00,31.00
251,48.50,12.50,28.00,24.00,51.25,28.00,50.00,17.00
252,40.50,22.50,39.00,37.00,43.75,31.00,54.00,20.00
253,62.00,17.50,34.00,37.00,63.75,53.00,56.00,25.00
254,49.00,30.00,28.00,39.00,45.00,35.00,42.00,27.00
255,69.50,52.50,54.00,51.00,65.00,48.00,68.00,32.00
256,54.50,7.50,24.00,27.00,48.75,36.00,54.00,18.00
257,54.00,35.00,31.00,27.00,60.00,35.00,36.00,15.00
258,38.00,22.50,27.00,40.00,43.75,35.00,26.00,20.00
259,38.50,20.00,20.00,32.00,52.50,33.00,28.00,15.00
260,47.50,10.00,28.00,32.00,58.75,44.00,52.00,23.00
261,65.00,42.50,51.00,58.00,83.75,49.00,66.00,29.00
262,29.50,12.50,24.00,30.00,37.50,31.00,30.00,17.00
263,41.50,12.50,18.00,38.00,36.25,28.00,56.00,15.00
264,39.00,15.00,27.00,35.00,67.50,26.00,46.00,11.00
265,63.50,20.00,39.00,50.00,68.75,49.00,58.00,16.00
266,,,,,,,,
267,72.00,62.50,48.00,44.00,65.00,39.00,66.00,27.00
268,69.00,70.00,60.00,54.00,70.00,41.00,76.00,47.00
269,33.00,20.00,47.00,25.00,65.00,28.00,66.00,19.00
270,54.00,15.00,31.00,32.00,41.25,31.00,34.00,14.00
271,66.00,37.50,50.00,64.00,72.50,57.00,58.00,32.00
272,65.00,37.50,43.00,38.00,65.00,37.00,64.00,40.00
273,33.00,22.50,29.00,23.00,51.25,33.00,18.00,10.00
274,57.50,12.50,26.00,39.00,66.25,37.00,64.00,18.00
275,59.50,15.00,24.00,34.00,57.50,33.00,34.00,19.00
276,53.00,27.50,31.00,37.00,62.50,51.00,64.00,34.00
277,59.00,22.50,41.00,43.00,66.25,48.00,58.00,21.00
278,47.00,12.50,30.00,38.00,67.50,41.00,58.00,43.00
279,79.50,67.50,61.00,62.00,73.75,57.00,72.00,51.00
280,46.50,15.00,22.00,35.00,46.25,33.00,58.00,14.00
281,60.50,25.00,32.00,34.00,62.50,48.00,50.00,24.00
282,65.00,50.00,43.00,34.00,66.25,30.00,52.00,24.00
283,48.50,17.50,33.00,22.00,37.50,25.00,46.00,21.00
284,67.50,22.50,46.00,46.00,61.25,40.00,56.00,58.00
285,57.50,17.50,32.00,38.00,42.50,36.00,70.00,24.00
286,57.00,25.00,42.00,40.00,57.50,40.00,60.00,28.00
287,58.50,32.50,24.00,37.00,61.25,43.00,54.00,21.00
288,43.50,25.00,32.00,43.00,57.50,42.00,40.00,32.00
289,68.50,65.00,48.00,42.00,68.75,42.00,56.00,52.00
290,72.00,22.50,31.00,41.00,68.75,40.00,64.00,47.00
291,40.00,77.50,55.00,36.00,62.50,34.00,64.00,39.00
292,57.00,15.00,34.00,29.00,65.00,41.00,58.00,16.00
293,68.00,92.50,68.00,59.00,76.25,52.00,66.00,44.00
294,69.00,42.50,49.00,54.00,63.75,48.00,54.00,42.00
295,68.50,52.50,52.00,57.00,70.00,36.00,70.00,28.00
296,71.50,20.00,41.00,56.00,67.50,41.00,60.00,25.00
297,61.00,30.00,49.00,39.00,70.00,41.00,66.00,15.00
298,51.00,22.50,37.00,41.00,61.25,23.00,58.00,18.00
299,58.00,22.50,30.00,38.00,53.75,25.00,56.00,20.00
300,70.50,27.50,41.00,38.00,68.75,46.00,62.00,24.00
301,77.50,20.00,46.00,56.00,62.50,35.00,58.00,27.00
302,71.00,42.50,47.00,48.00,55.00,30.00,52.00,34.00
303,49.00,20.00,36.00,39.00,56.25,35.00,60.00,28.00
304,66.50,60.00,56.00,43.00,58.75,33.00,54.00,48.00
305,74.50,72.50,61.00,62.00,68.75,51.00,72.00,48.00
306,67.00,20.00,47.00,41.00,61.25,43.00,62.00,29.00
307,44.00,15.00,26.00,37.00,43.75,41.00,52.00,20.00
308,69.00,45.00,47.00,51.00,57.50,28.00,58.00,31.00
309,71.00,47.50,49.00,38.00,61.25,47.00,70.00,36.00
310,56.00,20.00,24.00,30.00,48.75,37.00,50.00,9.00
311,74.50,55.00,54.00,46.00,61.25,47.00,50.00,32.00
312,58.00,32.50,35.00,45.00,67.50,38.00,66.00,25.00
313,59.50,32.50,40.00,42.00,58.75,41.00,58.00,50.00
314,55.50,17.50,45.00,41.00,63.75,41.00,64.00,23.00
315,41.00,27.50,36.00,32.00,55.00,23.00,36.00,19.00
316,53.00,20.00,33.00,33.00,51.25,38.00,56.00,13.00
317,38.50,15.00,25.00,32.00,38.75,32.00,32.00,20.00
318,67.50,47.50,50.00,38.00,67.50,46.00,64.00,34.00
319,65.50,40.00,47.00,59.00,62.50,37.00,54.00,34.00
320,59.00,22.50,23.00,37.00,38.75,35.00,56.00,16.00
321,50.50,45.00,54.00,43.00,66.25,35.00,60.00,31.00
322,79.50,60.00,62.00,52.00,63.75,45.00,64.00,69.00
323,55.50,42.50,35.00,32.00,65.00,35.00,56.00,24.00
324,48.00,15.00,29.00,49.00,55.00,44.00,50.00,19.00
325,31.00,12.50,24.00,29.00,37.50,23.00,54.00,13.00
326,68.00,20.00,38.00,39.00,60.00,38.00,50.00,23.00
327,52.50,15.00,40.00,35.00,61.25,35.00,48.00,17.00
328,48.50,22.50,34.00,44.00,42.50,40.00,48.00,17.00
329,62.50,37.50,47.00,51.00,67.50,44.00,66.00,28.00
330,70.00,12.50,47.00,55.00,66.25,42.00,70.00,45.00
331,66.50,25.00,34.00,41.00,55.00,30.00,62.00,17.00
332,76.50,27.50,53.00,46.00,48.75,35.00,52.00,24.00
333,43.00,17.50,18.00,37.00,38.75,28.00,56.00,26.00
334,61.50,60.00,46.00,40.00,61.25,47.00,60.00,54.00
335,74.00,57.50,56.00,48.00,55.00,42.00,66.00,47.00
336,68.50,27.50,36.00,52.00,33.75,44.00,54.00,31.00
337,76.00,92.50,67.00,48.00,57.50,41.00,64.00,64.00
338,74.50,12.50,49.00,56.00,62.50,35.00,72.00,42.00
339,59.00,17.50,36.00,34.00,62.50,29.00,52.00,32.00
340,65.50,32.50,37.00,42.00,55.00,37.00,56.00,38.00
341,60.50,22.50,29.00,36.00,48.75,39.00,62.00,15.00
342,70.00,47.50,49.00,45.00,66.25,43.00,64.00,30.00
343,78.00,42.50,32.00,45.00,67.50,30.00,70.00,30.00
344,59.50,25.00,30.00,36.00,63.75,47.00,56.00,31.00
345,39.00,20.00,34.00,41.00,56.25,20.00,50.00,26.00
346,68.00,15.00,38.00,47.00,65.00,43.00,60.00,35.00
347,47.50,20.00,32.00,25.00,60.00,29.00,54.00,19.00
348,65.00,37.50,57.00,55.00,70.00,44.00,58.00,33.00
349,67.50,37.50,42.00,39.00,68.75,36.00,64.00,34.00
350,73.00,45.00,53.00,56.00,67.50,46.00,64.00,33.00
351,64.00,17.50,36.00,41.00,75.00,27.00,64.00,17.00
352,72.00,70.00,63.00,59.00,68.75,37.00,68.00,49.00
353,64.50,22.50,34.00,40.00,58.75,26.00,62.00,22.00
354,35.50,20.00,25.00,28.00,42.50,24.00,34.00,30.00
355,51.50,12.50,45.00,40.00,51.25,25.00,52.00,29.00
356,46.00,10.00,28.00,27.00,58.75,34.00,52.00,16.00
357,76.00,17.50,35.00,40.00,58.75,31.00,60.00,21.00
358,60.00,70.00,45.00,49.00,63.75,46.00,58.00,36.00
359,50.50,50.00,41.00,32.00,53.75,57.00,50.00,28.00
360,70.00,85.00,52.00,55.00,71.25,36.00,54.00,60.00
361,75.00,92.50,67.00,58.00,75.00,46.00,60.00,73.00
362,37.50,12.50,25.00,24.00,61.25,27.00,46.00,10.00
363,70.50,62.50,49.00,43.00,62.50,40.00,64.00,33.00
364,60.50,17.50,35.00,36.00,45.00,31.00,54.00,23.00
365,37.00,12.50,22.00,29.00,48.75,39.00,44.00,28.00
366,68.00,22.50,32.00,45.00,58.75,30.00,66.00,26.00
367,72.00,35.00,32.00,41.00,55.00,37.00,58.00,13.00
368,63.50,27.50,38.00,42.00,68.75,39.00,60.00,16.00
369,60.00,32.50,33.00,43.00,73.75,29.00,48.00,16.00
370,66.00,60.00,58.00,55.00,61.25,37.00,50.00,35.00
371,59.00,20.00,40.00,38.00,52.50,37.00,64.00,27.00
372,41.00,12.50,30.00,32.00,43.75,25.00,50.00,27.00
373,69.00,57.50,49.00,55.00,56.25,36.00,58.00,27.00
374,50.00,12.50,28.00,37.00,47.50,25.00,44.00,20.00
375,56.50,15.00,31.00,39.00,57.50,28.00,66.00,13.00
376,63.00,12.50,37.00,29.00,62.50,43.00,60.00,28.00
377,47.50,10.00,33.00,37.00,41.25,29.00,34.00,28.00
378,62.50,30.00,42.00,43.00,61.25,44.00,66.00,20.00
379,80.00,35.00,50.00,65.00,65.00,61.00,74.00,57.00
380,,,,,,,,
381,69.00,50.00,56.00,49.00,68.75,35.00,48.00,41.00
382,57.50,32.50,41.00,55.00,56.25,37.00,44.00,29.00
383,61.50,17.50,31.00,44.00,61.25,39.00,58.00,23.00
384,43.50,7.50,33.00,33.00,63.75,26.00,18.00,14.00
385,55.50,15.00,20.00,30.00,50.00,39.00,44.00,29.00
386,56.00,22.50,24.00,39.00,70.00,32.00,50.00,23.00
387,74.00,35.00,48.00,53.00,66.25,48.00,68.00,50.00
388,84.50,80.00,60.00,59.00,67.50,49.00,70.00,50.00
389,57.50,35.00,33.00,45.00,71.25,27.00,62.00,42.00
390,53.50,25.00,26.00,23.00,45.00,28.00,46.00,18.00
391,49.50,35.00,43.00,42.00,57.50,31.00,56.00,24.00
392,73.00,42.50,41.00,46.00,65.00,36.00,70.00,50.00
393,59.50,20.00,39.00,44.00,66.25,36.00,68.00,27.00
394,53.50,12.50,18.00,41.00,47.50,37.00,50.00,19.00
395,26.50,10.00,23.00,22.00,27.50,27.00,38.00,12.00
396,58.00,40.00,45.00,47.00,57.50,47.00,50.00,25.00
397,58.50,15.00,23.00,35.00,55.00,45.00,54.00,16.00
398,48.50,10.00,37.00,39.00,61.25,31.00,66.00,13.00
399,72.00,45.00,47.00,47.00,72.50,47.00,66.00,28.00
400,35.50,12.50,25.00,32.00,42.50,37.00,48.00,22.00
401,75.00,67.50,58.00,60.00,63.75,40.00,66.00,40.00
402,28.50,22.50,27.00,30.00,60.00,31.00,56.00,29.00
403,72.00,62.50,48.00,56.00,56.25,34.00,56.00,39.00
404,42.50,10.00,38.00,33.00,53.75,28.00,48.00,23.00
405,77.50,72.50,56.00,58.00,65.00,53.00,62.00,48.00
