ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษา ศาสนาและวัฒนธรรม (02),สุขศึกษาและพลศึกษา (06),ศิลปะ (07),การงานอาชีพและเทคโนโลยี (08),ภาษาอังกฤษ (03)
411,39.00,10.00,34.00,36.88,71.25,48.50,58.00,19.00
412,67.50,60.00,42.00,37.50,72.50,36.50,46.00,32.00
413,48.00,20.00,35.00,24.38,65.00,25.00,54.00,28.00
414,58.00,25.00,37.00,47.50,66.25,38.00,70.00,27.00
415,39.50,30.00,38.00,40.63,71.25,28.00,62.00,38.00
416,73.50,72.50,59.00,55.00,81.25,45.50,74.00,55.00
417,75.50,70.00,69.00,55.00,82.50,36.00,76.00,35.00
418,63.50,10.00,31.00,33.75,72.50,41.50,46.00,27.00
419,76.50,25.00,48.00,39.38,72.50,35.00,64.00,34.00
420,63.50,40.00,38.00,33.75,67.50,27.00,58.00,35.00
421,84.00,65.00,64.00,60.63,82.50,35.50,62.00,84.00
422,81.50,42.50,57.00,41.88,75.00,43.50,60.00,61.00
423,63.00,47.50,52.00,50.63,78.75,22.50,68.00,39.00
424,66.50,50.00,47.00,43.75,72.50,37.50,64.00,49.00
425,48.50,20.00,41.00,32.50,68.75,43.50,54.00,26.00
426,50.50,25.00,34.00,36.88,72.50,19.00,58.00,17.00
427,71.00,55.00,51.00,48.13,77.50,41.00,80.00,30.00
428,60.00,20.00,36.00,31.25,68.75,31.00,38.00,24.00
429,71.00,42.50,47.00,45.00,73.75,31.00,66.00,28.00
430,73.50,35.00,36.00,35.63,65.00,35.00,64.00,31.00
431,55.00,5.00,27.00,28.75,66.25,32.50,56.00,21.00
432,40.50,27.50,21.00,24.38,52.50,26.50,50.00,18.00
433,63.50,32.50,40.00,38.75,70.00,26.00,66.00,29.00
434,67.50,92.50,73.00,56.25,78.75,47.50,54.00,76.00
435,39.00,15.00,21.00,26.25,56.25,22.00,30.00,20.00
436,71.00,42.50,45.00,35.00,66.25,44.00,62.00,59.00
437,57.00,30.00,30.00,34.38,65.00,32.00,60.00,20.00
438,57.50,45.00,35.00,49.38,62.50,31.50,40.00,29.00
439,45.50,30.00,23.00,23.75,60.00,24.50,44.00,31.00
440,62.00,15.00,29.00,35.00,66.25,26.00,46.00,35.00
441,40.50,15.00,28.00,26.88,50.00,27.00,36.00,24.00
442,60.50,37.50,58.00,39.38,77.50,30.00,68.00,32.00
443,63.00,25.00,40.00,39.38,67.50,25.50,26.00,44.00
444,49.00,25.00,26.00,30.63,57.50,31.00,54.00,24.00
445,60.00,27.50,35.00,30.00,53.75,35.50,52.00,33.00
446,79.00,30.00,51.00,49.38,68.75,47.50,64.00,63.00
447,38.50,15.00,29.00,40.00,61.25,25.50,56.00,23.00
448,79.50,90.00,67.00,61.25,82.50,42.50,74.00,68.00
449,63.50,37.50,45.00,54.38,76.25,31.50,64.00,23.00
450,61.00,20.00,34.00,31.25,70.00,38.00,52.00,41.00
451,71.50,20.00,29.00,35.63,73.75,39.00,72.00,21.00
452,63.50,45.00,42.00,32.50,73.75,33.50,28.00,29.00
453,59.00,12.50,43.00,45.00,73.75,31.50,54.00,66.00
454,63.50,30.00,47.00,38.75,68.75,34.00,52.00,63.00
455,39.50,10.00,27.00,22.50,65.00,31.00,48.00,21.00
456,68.00,30.00,50.00,40.00,68.75,33.50,70.00,38.00
457,53.00,15.00,36.00,28.75,68.75,41.00,64.00,20.00
458,54.50,20.00,29.00,31.25,58.75,28.50,50.00,27.00
459,48.00,25.00,33.00,35.00,70.00,26.00,58.00,25.00
460,80.50,85.00,51.00,63.13,80.00,43.50,70.00,75.00
461,49.00,17.50,36.00,35.63,75.00,28.00,60.00,22.00
462,53.00,25.00,26.00,45.63,66.25,35.00,56.00,30.00
,,,,,,,,
,16.00,5.00,16.00,16.25,27.50,12.50,14.00,9.00
,87.00,100.00,78.00,63.13,90.00,59.50,80.00,92.00
,71.00,95.00,62.00,46.88,62.50,47.00,66.00,83.00
,57.85,27.00,35.88,37.59,67.84,33.97,57.40,32.06
,61,20,35,30.63,76.25,35,58,22
,60.00,22.50,35.00,36.25,68.75,33.50,58.00,28.00
,,,,,,,,
,0.5501231492,0.733330713,0.6924733248,0.5261473536,0.4103453137,0.4467835654,0.4177910086,
,0.6742755403,0.5875986027,0.5124938639,0.5227060645,0.4505508546,0.4598816414,,
,0.6784591929,0.4127121174,0.4874991054,0.5389755937,0.4539749322,,,
,0.5707529834,0.3844643072,0.4736723497,0.5643191014,,,,
,0.5487869489,0.3635327473,0.6493614073,,,,,
,0.6075210901,0.6326653549,,,,,,
,0.6184704296,,,,,,,
